chembl_id,smiles,standard_value,bioactivity,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL595695,NC(=O)c1cc(F)cc2cn(-c3ccc(NC(=O)C4CNC4)cc3)nc12,5.0,active,353.3570000000001,1.4214,3.0,5.0
CHEMBL610171,CNCc1ccc(-n2cc3cc(F)cc(C(N)=O)c3n2)cc1,1.4,active,298.32099999999997,1.9828999999999999,2.0,4.0
CHEMBL595924,NC(=O)c1cccc2cn(-c3ccc(C(=O)NCc4ccncc4)cc3)nc12,10.0,active,371.4,2.4494000000000007,2.0,5.0
CHEMBL593611,O=C1NCC2c3c(cccc31)CCN2Cc1ccccc1,190.0,active,278.35499999999996,2.5294000000000008,1.0,2.0
CHEMBL595693,O=C1NCC2c3c(cccc31)CCN2C(=O)Oc1ccccc1,9.0,active,308.33699999999993,2.528200000000001,1.0,3.0
CHEMBL203884,CN(CCc1c[nH]cn1)C(=O)c1ccc2[nH]c3c4c(c5c(c3c2c1)CNC5=O)CCC4,161.0,active,413.4810000000003,3.091000000000001,3.0,3.0
CHEMBL603318,O=C1NCC2c3c(cccc31)CCN2C(=O)c1ccccc1Cl,35.0,active,326.783,2.8230000000000013,1.0,2.0
CHEMBL202848,CN(Cc1ccccn1)C(=O)c1ccc2[nH]c3c4c(c5c(c3c2c1)CNC5=O)CCC4,237.0,active,410.47700000000026,3.7204000000000015,2.0,3.0
CHEMBL595236,COc1cccc(CC(=O)N2CCc3cccc4c3C2CNC4=O)c1,5.0,active,336.391,2.1071,1.0,3.0
CHEMBL593202,Cn1cc(CCC(=O)N2CCc3cccc4c3C2CNC4=O)cn1,14.0,active,324.384,1.2220999999999997,1.0,4.0
CHEMBL593837,O=C1NCC2c3c(cccc31)CCN2C(=O)C1CCCC1,11.0,active,284.35900000000004,2.0460000000000003,1.0,2.0
CHEMBL250013,O=c1[nH]c(C2=CC(N3CC=C(c4ccccc4)CC3)CC2)nc2ccccc12,16.0,active,369.46800000000013,4.258200000000004,1.0,3.0
CHEMBL2407969,CCNC(=O)c1ccc(N2CCN(Cc3cc4c(c(OCC)c3)OC(C)C(=O)N4)CC2)c(C)c1,55.0,active,466.5820000000002,3.1850200000000015,2.0,6.0
CHEMBL596702,Cc1c(Cc2ccc(F)c(C(=O)N3CCN(C(=O)C4(N5CCCC5)CCCC4)CC3)c2)n[nH]c(=O)c1C,2.7,active,509.6260000000005,2.809640000000001,1.0,5.0
CHEMBL605552,Cc1c(Cc2ccc(F)c(C(=O)N3CCN(C(=O)C4(C)CCCN4)CC3)c2)n[nH]c(=O)c1C,2.8,active,455.5340000000003,1.5431399999999997,2.0,5.0
CHEMBL108702,Nc1cccc(-c2ccc(C(=O)CNC(=O)CCn3c4c(c(=O)[nH]c3=O)CSCC4)cc2)c1,20.0,active,464.5470000000002,1.964299999999999,3.0,7.0
CHEMBL400581,O=c1[nH]c(N2CC(N3CC=C(c4ccccc4)CC3)C2)nc2ccccc12,504.0,active,358.4450000000001,2.9010000000000007,1.0,4.0
CHEMBL399635,O=c1[nH]c(N2CCC(N3CC=C(c4ccccc4)CC3)C2)nc2ccccc12,300.0,active,372.47200000000015,3.291100000000002,1.0,4.0
