molecule_chembl_id,canonical_smiles,standard_type,relation,standard_value,standard_units
CHEMBL2419705,O=C(c1ccc(F)cc1)C1CCN(CC(=O)N(Cc2nc3c(c(=O)[nH]2)COCC3)CC2CC2)CC1,IC50,'>',19000.0,nM
CHEMBL3964642,CC[C@H](C)CN(Cc1nc2c(c(=O)[nH]1)COCC2)C(=O)CN1CCC(C(=O)c2ccc(F)cc2)CC1,IC50,'>',19000.0,nM
CHEMBL4109734,CC[C@@H](C)N(Cc1nc2c(c(=O)[nH]1)COCC2)C(=O)CN1CCC(C(=O)c2ccc(F)cc2)CC1,IC50,'>',19000.0,nM
CHEMBL3092538,C[C@@H](NC(=O)CCc1nc2ccccc2c(=O)[nH]1)c1ccccn1,IC50,'=',900.0,nM
CHEMBL435196,COC(=O)c1cccc2[nH]c(-c3ccc(N)cc3)nc12,Inhibition,,,
CHEMBL4868967,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCC(c2nc3ccccc3[nH]2)CC1,Inhibition,'=',100.0,%
CHEMBL130482,O=C(O)c1cccc2[nH]cnc12,Inhibition,,,
CHEMBL144060,CSc1ccccc1-c1[nH]c2cccc3c2c1CCNC3=O,Ki,'=',32.0,nM
CHEMBL109064,Oc1nc2ccccc2c2ncccc12,IC50,'=',2900.0,nM
CHEMBL1171468,NC(=O)c1cccc(C2CO2)c1,Activity,'=',88.0,%
CHEMBL4794987,O=C(NCCCCCCN1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4ccccc34)ccc2F)CC1)C(c1ccccc1)c1ccccc1,FC,'=',1.4,
CHEMBL4782151,O=C(CC12CC3CC(CC(C3)C1)C2)N1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4ccccc34)ccc2F)CC1,FC,'=',0.9,
